   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
   0	  11	   4	  -3	 -10	  -9	   3	  12	   8	   0
   0	   7	   5	   7	   3	  -3	   8	  12	   3	   0
   0	   3	   2	  -7	  -1	   7	  -7	 -22	 -18	   0
   0	  -8	   1	   5	  -3	  -9	 -14	 -13	  -7	   0
   0	   4	   6	   8	   0	   3	  17	  18	   8	   0
   0	  -7	  -4	  -7	   1	   9	   8	   7	   1	   0
   0	 -19	 -20	 -14	  -2	 -10	 -19	  -9	   7	   0
   0	  11	  10	   2	  -6	  -7	  -9	 -12	  -7	   0
   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
